run,bc,grade_deg,frame,bin,x_centre_m,depth_m
closed_g64,closed,0.0,34,7,5.741374,0.297329
closed_g64,closed,0.0,34,8,6.428376,0.317076
closed_g64,closed,0.0,34,9,7.115378,0.338513
closed_g64,closed,0.0,34,10,7.802380,0.560729
closed_g64,closed,0.0,34,11,8.489382,0.616311
closed_g64,closed,0.0,35,0,0.932360,
closed_g64,closed,0.0,35,1,1.619362,0.030929
closed_g64,closed,0.0,35,2,2.306364,0.232083
closed_g64,closed,0.0,35,3,2.993366,0.275937
closed_g64,closed,0.0,35,4,3.680368,0.280415
closed_g64,closed,0.0,35,5,4.367370,0.296833
closed_g64,closed,0.0,35,6,5.054372,0.305342
closed_g64,closed,0.0,35,7,5.741374,0.301069
closed_g64,closed,0.0,35,8,6.428376,0.318498
closed_g64,closed,0.0,35,9,7.115378,0.338112
closed_g64,closed,0.0,35,10,7.802380,0.572486
closed_g64,closed,0.0,35,11,8.489382,0.607240
closed_g64,closed,0.0,36,0,0.932360,
closed_g64,closed,0.0,36,1,1.619362,0.024524
closed_g64,closed,0.0,36,2,2.306364,0.227980
closed_g64,closed,0.0,36,3,2.993366,0.277596
closed_g64,closed,0.0,36,4,3.680368,0.280563
closed_g64,closed,0.0,36,5,4.367370,0.293917
closed_g64,closed,0.0,36,6,5.054372,0.292400
closed_g64,closed,0.0,36,7,5.741374,0.302727
closed_g64,closed,0.0,36,8,6.428376,0.296235
closed_g64,closed,0.0,36,9,7.115378,0.352481
closed_g64,closed,0.0,36,10,7.802380,0.584549
closed_g64,closed,0.0,36,11,8.489382,0.596951
closed_g64,closed,0.0,37,0,0.932360,
closed_g64,closed,0.0,37,1,1.619362,0.011847
closed_g64,closed,0.0,37,2,2.306364,0.223764
closed_g64,closed,0.0,37,3,2.993366,0.268043
closed_g64,closed,0.0,37,4,3.680368,0.280542
closed_g64,closed,0.0,37,5,4.367370,0.291373
closed_g64,closed,0.0,37,6,5.054372,0.291109
closed_g64,closed,0.0,37,7,5.741374,0.301589
closed_g64,closed,0.0,37,8,6.428376,0.315542
closed_g64,closed,0.0,37,9,7.115378,0.368274
closed_g64,closed,0.0,37,10,7.802380,0.596240
closed_g64,closed,0.0,37,11,8.489382,0.587451
closed_g64,closed,0.0,38,0,0.932360,
closed_g64,closed,0.0,38,1,1.619362,
closed_g64,closed,0.0,38,2,2.306364,0.216737
closed_g64,closed,0.0,38,3,2.993366,0.261059
closed_g64,closed,0.0,38,4,3.680368,0.273005
closed_g64,closed,0.0,38,5,4.367370,0.291578
closed_g64,closed,0.0,38,6,5.054372,0.291849
closed_g64,closed,0.0,38,7,5.741374,0.307893
closed_g64,closed,0.0,38,8,6.428376,0.295615
closed_g64,closed,0.0,38,9,7.115378,0.369856
closed_g64,closed,0.0,38,10,7.802380,0.603392
closed_g64,closed,0.0,38,11,8.489382,0.581516
closed_g64,closed,0.0,39,0,0.932360,
closed_g64,closed,0.0,39,1,1.619362,
closed_g64,closed,0.0,39,2,2.306364,0.203458
closed_g64,closed,0.0,39,3,2.993366,0.254609
closed_g64,closed,0.0,39,4,3.680368,0.273541
closed_g64,closed,0.0,39,5,4.367370,0.288037
closed_g64,closed,0.0,39,6,5.054372,0.293889
closed_g64,closed,0.0,39,7,5.741374,0.307063
closed_g64,closed,0.0,39,8,6.428376,0.311971
closed_g64,closed,0.0,39,9,7.115378,0.375219
closed_g64,closed,0.0,39,10,7.802380,0.619225
closed_g64,closed,0.0,39,11,8.489382,0.573664
closed_g64,closed,0.0,40,0,0.932360,
closed_g64,closed,0.0,40,1,1.619362,
closed_g64,closed,0.0,40,2,2.306364,0.194635
closed_g64,closed,0.0,40,3,2.993366,0.250142
closed_g64,closed,0.0,40,4,3.680368,0.273313
closed_g64,closed,0.0,40,5,4.367370,0.287579
closed_g64,closed,0.0,40,6,5.054372,0.293490
closed_g64,closed,0.0,40,7,5.741374,0.307079
closed_g64,closed,0.0,40,8,6.428376,0.321025
