bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
2.866054385016174599e-01,2.273009031126709267e-01,2.530052869627685830e-01,2.713387816260071084e-01,2.612634508917541787e-01,2.541304438421936318e-01,2.545060127089233681e-01,2.279653160879822060e-01,2.273323743651123330e-01,2.190945952246399209e-01,2.387947647879333779e-01,2.780276744673462197e-01
2.853112428496094033e-01,2.238571851561279580e-01,2.528535931418152138e-01,2.708037107298584267e-01,2.643971650908203408e-01,2.526911704848022744e-01,2.437193601439209267e-01,2.317305414984436318e-01,2.263925879309387490e-01,2.196288316557617470e-01,2.360057442496032998e-01,2.755977719137878701e-01
2.827261298010559365e-01,2.242029517004699990e-01,2.542460172484131142e-01,2.696241348097534463e-01,2.638299076864929482e-01,2.528600304434509560e-01,2.402294485876770302e-01,2.281967609236450478e-01,2.353162377188415810e-01,2.189618556807251259e-01,2.325999944517822549e-01,2.713328211615295693e-01
2.795642822096557900e-01,2.246669142554016396e-01,2.511692850897522256e-01,2.717155425856323525e-01,2.647102086851806924e-01,2.521376221487732217e-01,2.440771072218628213e-01,2.297874300787658974e-01,2.312574594328613564e-01,2.178366988013000771e-01,2.352744548628540322e-01,2.686177699873657509e-01
2.751087158034057900e-01,2.244765966246338174e-01,2.466657369444580361e-01,2.706999390433044717e-01,2.627576201269836709e-01,2.534744351217956826e-01,2.520491688559265420e-01,2.296855657408447549e-01,2.307037918875427529e-01,2.161286681006164834e-01,2.368642895529480263e-01,2.606370060751648232e-01
2.742769329855652138e-01,2.202536075422973916e-01,2.478504388640137002e-01,2.676519959280700967e-01,2.627929656813354775e-01,2.475813238928528115e-01,2.515490262816162392e-01,2.431922762701721474e-01,2.304641812155456826e-01,2.165540068457336709e-01,2.400228588888855263e-01,2.556874363730163857e-01
2.685339062521667763e-01,2.241591422865600869e-01,2.489021628210754677e-01,2.612618415663452431e-01,2.645487397024841592e-01,2.507178991148681924e-01,2.456938236067505166e-01,2.491517870733948037e-01,2.299003212759704873e-01,2.158940642187805459e-01,2.354151814291687295e-01,2.583701818297119424e-01
2.631334274122925088e-01,2.222172825644226357e-01,2.459239571402282998e-01,2.641193478415222451e-01,2.631427853415222451e-01,2.531450002501220986e-01,2.450670807669372842e-01,2.425419299910278603e-01,2.306976526091308877e-01,2.157836168120117470e-01,2.355290859053345009e-01,2.579833476851196572e-01
2.618689148733825967e-01,2.149785368750305459e-01,2.411517112562866494e-01,2.667218654463501259e-01,2.615305989096374795e-01,2.456069200346679970e-01,2.523879020521850869e-01,2.403317301581116006e-01,2.311768739531250283e-01,2.177685706923218056e-01,2.249781101057739541e-01,2.595560162375183388e-01
2.584750860045166299e-01,2.180336921522827431e-01,2.290751545736999795e-01,2.673782317946167275e-01,2.568871586630554482e-01,2.572711317846985146e-01,2.487531512091369912e-01,2.415027826140137002e-01,2.315248458693237588e-01,2.172298043081970498e-01,2.258382051298828408e-01,2.633412688086242959e-01
2.520340292761535927e-01,2.147359459707947060e-01,2.310621350119324013e-01,2.610207407782287881e-01,2.601921766112060830e-01,2.582085936377258584e-01,2.479893772909851357e-01,2.289403884718628213e-01,2.314133255789490029e-01,2.232651918242187783e-01,2.237587778876037881e-01,2.577583997557373330e-01
2.512954681227417275e-01,2.142651884863586709e-01,2.333514898131103799e-01,2.571459024260254189e-01,2.613753288099975869e-01,2.577366440603943154e-01,2.494554131338806435e-01,2.423220484564514443e-01,2.317623703787536904e-01,2.203786580870361611e-01,2.275582759688110634e-01,2.642041056463928506e-01
